"year","rate_category","living_arrangement","current_formula_annual","cpi_annual","wage_annual"
2050,"single_living_alone","single_living_alone",57066.2972329124,46412.2708397391,57066.2972329124
2051,"single_living_alone","single_living_alone",58731.4917861688,47340.5162565339,58731.4917861688
2052,"single_living_alone","single_living_alone",60445.2767164891,48287.3265816646,60445.2767164891
2053,"single_living_alone","single_living_alone",62209.0698910763,49253.0731132979,62209.0698910763
2054,"single_living_alone","single_living_alone",64024.3305504979,50238.1345755639,64024.3305504979
2055,"single_living_alone","single_living_alone",65892.5605159614,51242.8972670751,65892.5605159614
2056,"single_living_alone","single_living_alone",67815.3054318172,52267.7552124166,67815.3054318172
2057,"single_living_alone","single_living_alone",69794.1560443176,53313.110316665,69794.1560443176
2058,"single_living_alone","single_living_alone",71830.7495176908,54379.3725229983,71830.7495176908
2059,"single_living_alone","single_living_alone",73926.770788617,55466.9599734583,73926.770788617
2060,"single_living_alone","single_living_alone",76083.9539602289,56576.2991729274,76083.9539602289
2061,"single_living_alone","single_living_alone",78304.0837367884,57707.825156386,78304.0837367884
2062,"single_living_alone","single_living_alone",80588.9969002278,58861.9816595137,80588.9969002278
2063,"single_living_alone","single_living_alone",82940.5838297765,60039.221292704,82940.5838297765
2064,"single_living_alone","single_living_alone",85360.7900659294,61240.005718558,85360.7900659294
2065,"single_living_alone","single_living_alone",87851.6179200532,62464.8058329292,87851.6179200532
2026,"single_sharing","single_sharing",26647.296,26647.296,26594.97984
2027,"single_sharing","single_sharing",27299.74680576,27173.5333974523,27299.74680576
2028,"single_sharing","single_sharing",28031.3800201544,27711.8220330143,28031.3800201544
2029,"single_sharing","single_sharing",28793.8335567026,28266.1789860556,28793.8335567026
2030,"single_sharing","single_sharing",29634.0376198871,28831.5025657767,29634.0376198871
2031,"single_sharing","single_sharing",30498.7588376354,29408.1326170923,30498.7588376354
2032,"single_sharing","single_sharing",31388.7126205176,29996.2952694341,31388.7126205176
2033,"single_sharing","single_sharing",32304.6352547843,30596.2211748228,32304.6352547843
2034,"single_sharing","single_sharing",33247.2845115189,31208.1455983193,33247.2845115189
2035,"single_sharing","single_sharing",34217.4402735651,31832.3085102856,34217.4402735651
2036,"single_sharing","single_sharing",35215.9051807477,32468.9546804914,35215.9051807477
2037,"single_sharing","single_sharing",36243.5052939219,33118.3337741012,36243.5052939219
2038,"single_sharing","single_sharing",37301.0907783986,33780.7004495832,37301.0907783986
2039,"single_sharing","single_sharing",38389.5366073122,34456.3144585749,38389.5366073122
2040,"single_sharing","single_sharing",39509.7432855136,35145.4407477464,39509.7432855136
2041,"single_sharing","single_sharing",40662.6375945849,35848.3495627013,40662.6375945849
2042,"single_sharing","single_sharing",41849.1733595949,36565.3165539553,41849.1733595949
2043,"single_sharing","single_sharing",43070.3322382278,37296.6228850344,43070.3322382278
2044,"single_sharing","single_sharing",44327.1245329393,38042.5553427351,44327.1245329393
2045,"single_sharing","single_sharing",45620.5900268105,38803.4064495898,45620.5900268105
2046,"single_sharing","single_sharing",46951.7988437928,39579.4745785816,46951.7988437928
2047,"single_sharing","single_sharing",48321.8523340547,40371.0640701533,48321.8523340547
2048,"single_sharing","single_sharing",49731.8839851624,41178.4853515563,49731.8839851624
2049,"single_sharing","single_sharing",51183.0603598495,42002.0550585875,51183.0603598495
2050,"single_sharing","single_sharing",52676.5820611499,42842.0961597592,52676.5820611499
2051,"single_sharing","single_sharing",54213.6847256942,43698.9380829544,54213.6847256942
2052,"single_sharing","single_sharing",55795.64004599,44572.9168446135,55795.64004599
2053,"single_sharing","single_sharing",57423.756822532,45464.3751815058,57423.756822532
2054,"single_sharing","single_sharing",59099.3820466135,46373.6626851359,59099.3820466135
2055,"single_sharing","single_sharing",60823.9020147336,47301.1359388386,60823.9020147336
2056,"single_sharing","single_sharing",62598.7434755236,48247.1586576154,62598.7434755236
2057,"single_sharing","single_sharing",64425.3748101393,49212.1018307677,64425.3748101393
2058,"single_sharing","single_sharing",66305.3072470992,50196.343867383,66305.3072470992
2059,"single_sharing","single_sharing",68240.0961125696,51200.2707447307,68240.0961125696
2060,"single_sharing","single_sharing",70231.3421171343,52224.2761596253,70231.3421171343
2061,"single_sharing","single_sharing",72280.6926801123,53268.7616828178,72280.6926801123
2062,"single_sharing","single_sharing",74389.843292518,54334.1369164742,74389.843292518
2063,"single_sharing","single_sharing",76560.5389197937,55420.8196548037,76560.5389197937
2064,"single_sharing","single_sharing",78794.5754454733,56529.2360478997,78794.5754454733
2065,"single_sharing","single_sharing",81093.8011569721,57659.8207688577,81093.8011569721
2026,"couple_each","couple",22206.08,22206.08,22162.4832
2027,"couple_each","couple",22749.7890048,22644.6111645436,22749.7890048
2028,"couple_each","couple",23359.4833501286,23093.1850275119,23359.4833501286
2029,"couple_each","couple",23994.8612972521,23555.1491550464,23994.8612972521
2030,"couple_each","couple",24695.0313499059,24026.2521381473,24695.0313499059
2031,"couple_each","couple",25415.6323646962,24506.7771809102,25415.6323646962
2032,"couple_each","couple",26157.260517098,24996.9127245284,26157.260517098
2033,"couple_each","couple",26920.529378987,25496.850979019,26920.529378987
2034,"couple_each","couple",27706.0704262658,26006.7879985994,27706.0704262658
2035,"couple_each","couple",28514.5335613042,26526.9237585714,28514.5335613042
2036,"couple_each","couple",29346.5876506231,27057.4622337428,29346.5876506231
2037,"couple_each","couple",30202.9210782683,27598.6114784177,30202.9210782683
2038,"couple_each","couple",31084.2423153321,28150.583707986,31084.2423153321
2039,"couple_each","couple",31991.2805060935,28713.5953821457,31991.2805060935
2040,"couple_each","couple",32924.7860712613,29287.8672897886,32924.7860712613
2041,"couple_each","couple",33885.5313288207,29873.6246355844,33885.5313288207
2042,"couple_each","couple",34874.3111329957,30471.0971282961,34874.3111329957
2043,"couple_each","couple",35891.9435318565,31080.519070862,35891.9435318565
2044,"couple_each","couple",36939.2704441161,31702.1294522793,36939.2704441161
2045,"couple_each","couple",38017.1583556754,32336.1720413249,38017.1583556754
2046,"couple_each","couple",39126.499036494,32982.8954821514,39126.499036494
2047,"couple_each","couple",40268.2102783789,33642.5533917944,40268.2102783789
2048,"couple_each","couple",41443.236654302,34315.4044596303,41443.236654302
2049,"couple_each","couple",42652.5502998746,35001.7125488229,42652.5502998746
2050,"couple_each","couple",43897.1517176249,35701.7467997993,43897.1517176249
2051,"couple_each","couple",45178.0706047452,36415.7817357953,45178.0706047452
2052,"couple_each","couple",46496.3667049917,37144.0973705112,46496.3667049917
2053,"couple_each","couple",47853.1306854433,37886.9793179215,47853.1306854433
2054,"couple_each","couple",49249.4850388445,38644.7189042799,49249.4850388445
2055,"couple_each","couple",50686.585012278,39417.6132823655,50686.585012278
2056,"couple_each","couple",52165.6195629363,40205.9655480128,52165.6195629363
2057,"couple_each","couple",53687.8123417828,41010.0848589731,53687.8123417828
2058,"couple_each","couple",55254.422705916,41830.2865561525,55254.422705916
2059,"couple_each","couple",56866.7467604746,42666.8922872756,56866.7467604746
2060,"couple_each","couple",58526.1184309453,43520.2301330211,58526.1184309453
2061,"couple_each","couple",60233.9105667603,44390.6347356815,60233.9105667603
2062,"couple_each","couple",61991.5360770983,45278.4474303951,61991.5360770983
2063,"couple_each","couple",63800.4490998281,46184.016379003,63800.4490998281
2064,"couple_each","couple",65662.146204561,47107.6967065831,65662.146204561
2065,"couple_each","couple",67578.1676308101,48049.8506407148,67578.1676308101
